VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT;339;0.51;37.77;0.66
SALAD DRSNG,FRENCH,HOME RECIPE;631;0.1;70.2;3.4
SALAD DRSNG,HOME RECIPE,CKD;157;4.2;9.5;14.9
SALAD DRSNG,HOME RECIPE,VINEGAR&OIL;449;0;50.1;2.5
SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT;459;0.77;44.81;15.58
SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT;233;0.58;13.46;29.28
SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT;292;0.38;28.37;10.43
SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT;76;0.47;6.38;4.57
SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT;717;1.1;79.4;2.7
SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE;631;0.1;70.2;3.4
SALAD DRSNG,FRENCH DRSNG,FAT-FREE;132;0.2;0.27;32.14
OIL,COCOA BUTTER;884;0;100;0
OIL,CTTNSD,SALAD OR COOKING;884;0;100;0
OIL,SUNFLOWER,LINOLEIC,(APPROX. 65%);884;0;100;0
OIL,SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%);884;0;100;0
OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC;884;0;100;0
VEGETABLE OIL,PALM KERNEL;862;0;100;0
OIL,POPPYSEED;884;0;100;0
OIL,TOMATOSEED;884;0;100;0
OIL,TEASEED;884;0;100;0
OIL,GRAPESEED;884;0;100;0
OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING;884;0;100;0
FAT,MUTTON TALLOW;902;0;100;0
OIL,WALNUT;884;0;100;0
OIL,ALMOND;884;0;100;0
OIL,APRICOT KERNEL;884;0;100;0
OIL,SOYBN LECITHIN;763;0;100;0
OIL,HAZELNUT;884;0;100;0
OIL,BABASSU;884;0;100;0
OIL,SHEANUT;884;0;100;0
SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG;476;1.37;51.1;4.62
OIL,CUPU ASSU;884;0;100;0
FAT,CHICKEN;900;0;99.8;0
OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD;884;0;100;0
SHORTENING,HOUSEHOLD,LARD&VEG OIL;900;0;100;0
OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED);884;0;100;0
SHORTENING BREAD,SOYBN (HYDR)&CTTNSD;884;0;100;0
SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR);884;0;100;0
SHORTENING INDUSTRIAL,LARD&VEG OIL;900;0;100;0
SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD;900;0;100;0
SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR);884;0;100;0
SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD;884;0;100;0
SHORTENING FRYING (HVY DUTY),PALM (HYDR);884;0;100;0
SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM;884;0;100;0
SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%;884;0;100;0
SHORTENING,CONFECTIONERY,FRACTIONATED PALM;884;0;100;0
OIL,NUTMEG BUTTER;884;0;100;0
OIL,UCUHUBA BUTTER;884;0;100;0
FAT,DUCK;882;0;99.8;0
FAT,TURKEY;900;0;99.8;0
FAT,GOOSE;900;0;99.8;0
OIL,AVOCADO;884;0;100;0
OIL,CANOLA;884;0;100;0
OIL,MUSTARD;884;0;100;0
OIL,SUNFLOWER,HI OLEIC (70% & OVER);884;0;100;0
MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER;714;0.31;80.32;0.77
SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR);884;0;100;0
SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD;884;0;100;0
OIL,OAT;884;0;100;0
FISH OIL,COD LIVER;902;0;100;0
FISH OIL,HERRING;902;0;100;0
FISH OIL,MENHADEN;902;0;100;0
FISH OIL,MENHADEN,FULLY HYDR;902;0;100;0
FISH OIL,SALMON;902;0;100;0
FISH OIL,SARDINE;902;0;100;0
SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR);884;0;100;0
MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT;362;1;40;1
BUTTER,LT,STK,W/SALT;509;3.3;55.1;0
BUTTER,LT,STK,WO/SALT;499;3.3;55.1;0
MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW);889;0;98.59;0
ANIMAL FAT,BACON GREASE;897;0;99.5;0
MARGARINE,REG,80% FAT,COMP,STK,W/ SALT;717;0.16;80.71;0.7
MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT;713;0.22;80.17;0.75
MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STK,W/ SALT;537;0.12;60.39;0.69
MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT;533;0.17;59.81;0.86
MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT;526;0.6;59.17;0
SHORTENING,VEG,HOUSEHOLD,COMP;884;0;99.97;0
MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT;717;0.16;80.71;0.7
MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT;713;0.22;80.17;0.75
VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT;533;0.17;59.81;0.86
MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT;43;1.5;3;2.5
MARGARINE-LIKE SPRD W/ YOGURT,70% FAT,STK,W/ SALT;630;0.3;70;0.5
MARGARINE-LIKE SPRD W/ YOGURT,APPROX 40% FAT,TUB,W/ SALT;330;2;35;2
MARGARINE,80% FAT,STK,INCL REG & HYDR CORN & SOYBN OILS;717;0.16;80.71;0.7
MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK;628;0.26;70.22;1.53
MARGARINE SPRD,APPROX 48% FAT,TUB;424;0.2;47.53;0.86
MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB;44;0.1;3.04;4.34
MARGARINE-LIKE,VEG OIL SPRD,20% FAT,W/ SALT;175;0;19.5;0.4
MARGARINE-LIKE,VEG OIL SPRD,20% FAT,WO/ SALT;175;0;19.5;0.4
SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE;132;0.55;1.45;29.27
SALAD DRSNG,ITALIAN DRSNG,FAT-FREE;47;0.97;0.87;8.75
SALAD DRSNG,RANCH DRSNG,FAT-FREE;119;0.25;1.92;26.51
SALAD DRSNG,RANCH DRSNG,COMM,REG;484;1.03;51.39;6.69
SALAD DRSNG,RANCH DRSNG,RED FAT;196;1.25;12.42;21.33
SALAD DRSNG,MAYO,LT;324;0.88;33.09;8.2
OIL,INDUSTRIAL,MID-OLEIC,SUNFLOWER;884;0;100;0
OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT;884;0;100;0
OIL,INDUSTRIAL,CANOLA FOR SALADS,WOKS & LT FRYING;884;0;100;0
OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING;884;0;100;0
OIL,INDUSTRIAL,COCNT;884;0;100;0
OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG;884;0;100;0
SHORTENING,INDUS,SOY (PART HYDROG),POURABLE LIQ FRY;884;0;100;0
OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING;884;0;100;0
