EMU,OUTSIDE DRUM,RAW;103;23.08;0.48;0
EMU,OYSTER,RAW;141;22.81;4.86;0
EMU,TOP LOIN,CKD,BRLD;152;29.07;3.13;0
OSTRICH,GROUND,RAW;165;20.22;8.7;0
OSTRICH,GROUND,CKD,PAN-BROILED;175;26.15;7.07;0
OSTRICH,FAN,RAW;117;21.81;2.65;0
OSTRICH,INSIDE LEG,RAW;111;22.39;1.72;0
OSTRICH,INSIDE LEG,CKD;141;29.01;1.94;0
OSTRICH,INSIDE STRIP,RAW;127;23.69;2.87;0
OSTRICH,INSIDE STRIP,CKD;164;29.37;4.26;0
OSTRICH,OUTSIDE LEG,RAW;115;22.86;1.96;0
OSTRICH,OUTSIDE STRIP,RAW;120;23.36;2.21;0
OSTRICH,OUTSIDE STRIP,CKD;156;28.55;3.83;0
OSTRICH,OYSTER,RAW;125;21.55;3.67;0
OSTRICH,OYSTER,CKD;159;28.81;3.97;0
OSTRICH,RND,RAW;116;21.99;2.4;0
OSTRICH,TENDERLOIN,RAW;123;22.07;3.19;0
OSTRICH,TIP RAW;114;21.85;2.3;0
OSTRICH,TIP CKD;145;28.49;2.57;0
OSTRICH,TOP LOIN,RAW;119;21.67;2.95;0
OSTRICH,TOP LOIN,CKD;155;28.12;3.87;0
CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED;172;25.78;6.43;1.11
GROUND TURKEY,FAT FREE,RAW;112;23.57;1.95;0
GROUND TURKEY,FAT FREE,PAN-BROILED CRUMBLES;151;31.69;2.71;0
GROUND TURKEY,FAT FREE,PATTIES,BRLD;138;28.99;2.48;0
GROUND TURKEY,93% LN,7% FAT,RAW;150;18.73;8.34;0
GROUND TURKEY,93% LN,7% FAT,PAN-BROILED CRUMBLES;213;27.1;11.6;0
GROUND TURKEY,93% LN,7% FAT,PATTIES,BRLD;207;25.86;11.45;0
GROUND TURKEY,85% LN,15% FAT,RAW;180;16.9;12.54;0
GROUND TURKEY,85% LN,15% FAT,PAN-BROILED CRUMBLES;258;25.11;17.45;0
GROUND TURKEY,85% LN,15% FAT,PATTIES,BRLD;249;25.88;16.2;0
CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT OLY,CKD,BRSD;149;23.93;5.95;0
CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,CKD,BRSD;176;24.55;8.63;0
CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,BRSD;443;14.61;42.76;0
CHICKEN,SKN (DRUMSTICKS & THIGHS),RAW;440;9.58;44.23;0.79
CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD;462;16.57;43.99;0
CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MT & SKN,CKD,BRSD;187;22.72;10.73;0
CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT & SKN,CKD,BRSD;229;22.57;15.43;0
SOUP,CRM OF ASPARAGUS,CND,COND;69;1.82;3.26;8.52
SOUP,BLACK BEAN,CND,COND;91;4.83;1.32;15.42
CAMPBELL,CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND;40;2.38;1.59;4.76
SOUP,BEAN W/ PORK,CND,COND;129;5.88;4.42;16.97
SOUP,BEAN W/ FRANKFURTERS,CND,COND;142;7.6;5.31;16.75
SOUP,BEAN W/ HAM,CND,CHUNKY,RTS;95;5.19;3.5;11.16
SOUP,BF BROTH OR BOUILLON CND,RTS;7;1.14;0.22;0.04
SOUP,BF NOODLE,CND,COND;67;3.85;2.46;7.16
SOUP,CRM OF CELERY,CND,COND;72;1.32;4.46;7.03
SOUP,CHS,CND,COND;121;4.22;8.15;8.19
SOUP,CHICK W/ DUMPLINGS,CND,COND;79;4.58;4.51;4.93
